date, pm25, pm10, o3, no2, so2, co
2015/12/15, 68, , , 18, , 
2015/12/16, 59, , , 21, , 
2015/12/17, 57, , , 19, , 
2015/12/18, 65, , , 18, , 
2015/12/19, 66, , , 14, , 
2015/12/20, 56, , , 8, , 
2015/12/21, 33, , , 9, , 
2015/12/22, 32, , , 16, , 
2015/12/23, 43, , , 12, , 
2015/12/24, 50, , , 10, , 
2015/12/25, 46, , , 19, , 
2015/12/26, 58, , , 20, , 
2015/12/27, 70, , , 18, , 
2015/12/28, 61, , , 21, , 
2015/12/29, 47, , , 17, , 
2015/12/30, 40, , , , , 
2016/1/2, 34, , , 7, , 
2016/1/3, 32, , , 13, , 
2015/7/1, 55, , , 5, , 
2015/7/2, 50, , , 8, , 
2015/7/3, 50, , , 14, , 
2015/7/4, 58, , , 4, , 
2015/7/5, 31, , , 13, , 
2015/7/6, 42, , , 11, , 
2015/7/7, 39, , , 3, , 
2015/7/8, 27, , , 4, , 
2015/7/9, 45, , , 11, , 
2015/7/10, 36, , , 9, , 
2015/7/11, 40, , , 6, , 
2015/7/12, 34, , , 5, , 
2015/7/13, 29, , , 6, , 
2015/7/14, 35, , , 10, , 
2015/7/15, 33, , , 14, , 
2015/7/16, 37, , , 6, , 
2015/7/17, 34, , , 5, , 
2015/7/18, 28, , , 7, , 
2015/7/19, 37, , , 9, , 
2015/7/20, 17, , , 10, , 
2015/7/21, 25, , , 5, , 
2015/7/22, 23, , , 5, , 
2015/7/23, 29, , , 13, , 
2015/7/24, 32, , , 4, , 
2015/7/25, 30, , , 15, , 
2015/7/26, 33, , , 4, , 
2015/7/27, 20, , , 5, , 
2015/7/28, 24, , , 4, , 
2015/7/29, 24, , , 7, , 
2015/7/30, 28, , , 11, , 
2015/7/31, 36, , , 6, , 
2015/8/1, 38, , , 8, , 
2015/8/2, 35, , , 20, , 
2015/8/3, 44, , , 4, , 
2015/8/4, 33, , , 16, , 
2015/8/5, 36, , , 8, , 
2015/8/6, 34, , , 5, , 
2015/8/7, 38, , , 5, , 
2015/8/8, 33, , , 5, , 
2015/8/9, 52, , , 6, , 
2015/8/10, 26, , , 6, , 
2015/8/11, 31, , , 7, , 
2015/8/12, 56, , , 8, , 
2015/8/13, 59, , , 9, , 
2015/8/14, 32, , , 3, , 
2015/8/15, 38, , , 4, , 
2015/8/16, 35, , , 6, , 
2015/8/17, 37, , , 13, , 
2015/8/18, 48, , , 14, , 
2015/8/19, 44, , , 12, , 
2015/8/20, 42, , , 11, , 
2015/8/21, 45, , , 11, , 
2015/8/22, 39, , , 8, , 
2015/8/23, 27, , , 7, , 
2015/8/24, 22, , , 7, , 
2015/8/25, 25, , , 7, , 
2015/8/26, 22, , , 14, , 
2015/8/27, 24, , , 12, , 
2015/8/28, 30, , , 11, , 
2015/8/29, 32, , , 14, , 
2015/8/30, 44, , , 13, , 
2015/8/31, 47, , , 5, , 
2015/9/1, 25, , , 8, , 
2015/9/2, 43, , , 7, , 
2015/9/3, 31, , , 6, , 
2015/9/4, 26, , , 5, , 
2015/9/5, 32, , , 4, , 
