date, pm25, pm10, o3, no2, so2, co
2019/2/25, 42, 25, , , , 
2019/2/26, 36, 34, , , , 
2019/2/27, 48, 30, , , , 
2019/2/28, 52, 19, , , , 
2019/3/1, 44, 21, , , , 
2019/3/2, 40, 16, , , , 
2019/3/3, 40, 17, , , , 
2019/3/4, 42, 9, , , , 
2019/3/5, 17, 14, , , , 
2019/3/6, 29, 16, , , , 
2019/3/7, 38, 10, , , , 
2019/3/8, 21, , , , , 
2019/3/13, 38, 19, , , , 
2019/3/14, 48, 14, , , , 
2019/3/15, 34, 8, , , , 
2019/3/16, 17, 12, , , , 
2019/3/17, 27, 7, , , , 
2019/3/18, 13, 12, , , , 
2019/3/19, 25, 13, , , , 
2019/3/20, 25, 8, , , , 
2019/3/21, 9, 10, , , , 
2019/3/22, 15, 8, , , , 
2019/3/23, 13, 21, , , , 
2019/3/24, 42, 22, , , , 
2019/3/25, 42, 20, , , , 
2019/3/26, 40, 24, , , , 
2019/3/27, 38, 21, , , , 
2019/3/28, 27, 23, , , , 
2019/3/29, 38, 24, , , , 
2019/3/30, 40, 29, , , , 
2019/3/31, 51, 28, , , , 
2018/10/1, 21, 17, , , , 
2018/10/2, 21, 9, , , , 
2018/10/3, 7, 15, , , , 
2018/10/4, 13, 17, , , , 
2018/10/5, 17, 27, , , , 
2018/10/6, 30, 12, , , , 
2018/10/7, 17, 14, , , , 
2018/10/8, 17, 12, , , , 
2018/10/9, 13, 18, , , , 
2018/10/10, 17, 27, , , , 
2018/10/11, 30, 23, , , , 
2018/10/12, 25, 22, , , , 
2018/10/13, 25, 21, , , , 
2018/10/14, 21, 13, , , , 
2018/10/15, 6, 21, , , , 
2018/10/16, 21, 17, , , , 
2018/10/17, 19, 25, , , , 
2018/10/18, 21, 23, , , , 
2018/10/19, 27, 22, , , , 
2018/10/20, 27, 22, , , , 
2018/10/21, 25, 15, , , , 
2018/10/22, 17, 26, , , , 
2018/10/23, 42, 22, , , , 
2018/10/24, 34, 24, , , , 
2018/10/25, 40, 16, , , , 
2018/10/26, 21, 10, , , , 
2018/10/27, 13, 7, , , , 
2018/10/28, 11, 7, , , , 
2018/10/29, 9, 8, , , , 
2018/10/31, 17, 18, , , , 
2018/11/1, 21, 13, , , , 
2018/11/2, 15, 17, , , , 
2018/11/3, 21, 19, , , , 
2018/11/4, 21, 22, , , , 
