date, pm25, pm10, o3, no2, so2, co
2019/8/6, 24, 16, 24, 13, 4, 2
2019/8/7, 24, 19, 30, 13, 2, 2
2019/8/8, 37, 16, 38, 13, 3, 2
2019/8/9, 37, 17, 32, 11, 3, 2
2019/8/10, 38, 15, 30, 8, 2, 2
2019/8/11, 33, 20, 15, 7, 3, 2
2019/8/12, 38, 20, 15, 10, 3, 2
2019/8/13, 29, 28, 12, 9, 2, 2
2019/8/14, 44, 36, 15, 5, 2, 2
2019/8/15, 54, 40, 34, 5, 1, 2
2019/8/16, 67, 35, 44, 12, 4, 5
2019/8/17, 64, 36, 45, 10, 2, 3
2019/8/18, 65, 42, 28, 8, 1, 3
2019/8/19, 71, 23, 26, 12, 1, 2
2019/8/20, 38, 13, 31, 15, 2, 3
2019/8/21, 27, 18, 42, 11, 2, 3
2019/8/22, 35, 20, 20, 14, 1, 3
2019/8/23, 33, 24, 49, 16, 3, 4
2019/8/24, 50, 24, 59, 8, 2, 4
2019/8/25, 55, 20, 38, 11, 2, 4
2019/8/26, 47, 21, 39, 14, 2, 4
2019/8/27, 45, 16, 17, 9, , 2
2019/8/28, 24, 23, 25, 12, 2, 2
2019/8/29, 48, 17, 8, 11, 2, 2
2019/8/30, 27, 19, 31, 15, 3, 3
2019/8/31, 39, 28, 60, 9, 2, 3
2019/9/1, 59, 30, 28, 17, 3, 3
2019/9/2, 57, 24, 29, 11, 1, 2
2019/9/3, 49, 13, 29, 8, 1, 2
2019/9/4, 27, 24, 41, 13, 1, 3
2019/9/5, 52, 23, 27, 17, 4, 4
2019/9/6, 31, 11, 13, 12, 4, 2
2019/9/7, 24, 18, 14, 6, 2, 1
2019/9/8, 30, 16, 20, 9, 1, 2
2019/9/9, 26, 23, 72, 16, 3, 3
2019/9/10, 51, 24, 42, 14, 2, 3
2019/9/11, 44, 10, 35, 9, 1, 2
2019/9/12, 20, 9, 25, 8, 2, 2
2019/9/13, 21, 13, 30, 10, , 3
2019/9/14, 28, 13, 34, 7, 1, 2
2019/9/15, 29, 10, 18, 6, 1, 2
2019/9/16, 11, 14, 30, 10, 2, 3
2019/9/17, 29, 12, 24, 8, 1, 2
2019/9/18, 21, 13, 31, 12, 2, 3
2019/9/19, 28, 14, 39, 11, 2, 3
2019/9/20, 32, 13, 29, 8, 1, 2
2019/9/21, 27, 13, 34, 5, , 2
2019/9/22, 27, 17, 24, 6, 1, 3
2019/9/23, 24, 10, 25, 12, 2, 3
2019/9/24, 22, 10, 36, 14, 3, 2
2019/9/25, 21, 14, 35, 12, 2, 3
2019/9/26, 33, 19, 40, 21, 4, 3
2019/9/27, 43, 15, 29, 14, 3, 3
2019/9/28, 31, 16, 25, 12, 2, 3
2019/9/29, 33, 17, 32, 12, 1, 3
2019/9/30, 41, 20, 49, 15, 4, 2
2019/4/1, 27, 10, 36, 10, 1, 3
2019/4/2, 34, 11, 39, 7, 1, 2
2019/4/3, 37, 16, 35, 20, 3, 3
2019/4/4, 55, 18, 44, 26, 3, 4
2019/4/5, 55, 22, 52, 13, 2, 4
2019/4/6, 59, 21, 53, 11, 3, 3
2019/4/7, 57, 14, 36, 12, 1, 2
2019/4/8, 44, 7, 39, 7, 1, 2
2019/4/9, 22, 9, 22, 16, 1, 3
2019/4/10, 31, 4, 36, 6, 1, 2
2019/4/11, 10, 9, 32, 12, 1, 2
2019/4/12, 27, 13, 42, 15, 2, 3
2019/4/13, 44, 11, 45, 10, 2, 3
2019/4/14, 34, 9, 48, 7, 1, 2
2019/4/15, 26, 13, 44, 15, 3, 3
2019/4/16, 40, 16, 39, 21, 3, 3
2019/4/17, 49, 18, 55, 16, 3, 3
2019/4/18, 51, 21, 44, 22, 4, 3
2019/4/19, 60, 16, 37, 12, 3, 3
2019/4/20, 44, 21, 53, 13, 3, 3
2019/4/21, 57, 29, 51, 19, 3, 4
2019/4/22, 71, 18, 45, 14, 2, 3
2019/4/23, 47, 25, 23, 16, 2, 3
2019/4/24, 45, 16, 20, 26, 4, 4
2019/4/25, 36, 11, 28, 11, 1, 2
2019/4/26, 27, 5, 32, 8, 1, 2
2019/4/27, 14, 6, 40, 6, 3, 3
2019/4/28, 14, 8, 36, 11, 2, 3
2019/4/29, 21, 9, 27, 11, 1, 3
2019/4/30, 15, 7, 36, 8, 2, 3
2019/5/1, 12, 11, 40, 10, 1, 3
2019/5/2, 26, 14, 48, 14, 3, 4
2019/5/3, 44, 16, 47, 9, 1, 3
